Region,Month of Period End,Median Sale Price in Thousands,Median Sale Price MoM ,Median Sale Price YoY ,Homes Sold,Homes Sold MoM ,Homes Sold YoY ,New Listings,New Listings MoM ,New Listings YoY ,Inventory,Inventory MoM , Inventory YoY ,Days on Market,Days on Market MoM,Days on Market YoY,Average Sale To List as %,Average Sale To List MoM ,Average Sale To List YoY ,Average Listing Price Thousands
"Chicago, IL metro area",February 2021,274.0,1.6%,13.4%,"6,074",-1.4%,15.5%,"8,839",8.8%,-19.9%,"14,065",-5.8%,-37.6%,36,4,-36,98.1,0.1%,1.3%,279
"Chicago, IL metro area",March 2021,300.0,9.3%,13.2%,"9,299",53.1%,29.2%,"13,581",53.6%,23.6%,"14,390",2.3%,-36.2%,24,-12,-23,98.7,0.7%,1.2%,303
"Chicago, IL metro area",April 2021,312.0,4.0%,13.5%,"10,487",12.8%,45.1%,"14,712",8.3%,113.2%,"16,005",11.2%,-26.6%,13,-11,-12,99.4,0.7%,1.7%,313
"Chicago, IL metro area",May 2021,315.0,1.0%,18.9%,"10,903",4.0%,71.7%,"13,986",-4.9%,37.1%,"17,058",6.6%,-21.3%,9,-4,-19,100.0,0.6%,2.7%,315
"Chicago, IL metro area",June 2021,320.0,1.6%,18.7%,"13,018",19.4%,60.8%,"15,028",7.5%,16.1%,"19,283",13.0%,-10.8%,8,-1,-22,100.3,0.3%,2.9%,319
"Chicago, IL metro area",July 2021,312.0,-2.5%,11.4%,"11,691",-10.2%,7.5%,"13,921",-7.4%,1.9%,"20,730",7.5%,-6.1%,10,2,-13,100.1,-0.2%,2.2%,311
"Chicago, IL metro area",August 2021,305.0,-2.2%,7.0%,"11,194",-4.3%,1.3%,"12,116",-13.0%,-5.8%,"20,402",-1.6%,-7.6%,13,3,-8,99.7,-0.3%,1.7%,305
"Chicago, IL metro area",September 2021,294.0,-3.6%,6.5%,"9,957",-11.1%,-3.5%,"11,477",-5.3%,-5.4%,"20,278",-0.6%,-8.9%,15,2,-5,99.2,-0.5%,1.0%,296
"Chicago, IL metro area",October 2021,293.0,-0.3%,6.5%,"9,559",-4.0%,-8.1%,"9,870",-14.0%,-7.3%,"18,733",-7.6%,-12.4%,19,4,0,99.0,-0.2%,0.8%,295
"Chicago, IL metro area",November 2021,293.0,0.1%,8.6%,"8,958",-6.3%,7.4%,"7,159",-27.5%,1.0%,"16,288",-13.1%,-13.7%,22,3,2,98.7,-0.2%,0.6%,296
"Chicago, IL metro area",December 2021,290.0,-1.1%,7.8%,"9,124",1.9%,0.1%,"4,793",-33.0%,-10.1%,"14,127",-13.3%,-12.0%,25,3,2,98.7,-0.1%,0.6%,293
"Chicago, IL metro area",January 2022,290.0,0.0%,7.4%,"6,335",-30.6%,2.9%,"7,525",57.0%,-7.4%,"17,394",23.1%,16.6%,32,7,0,98.3,-0.3%,0.3%,295
"Chicago, IL metro area",February 2022,292.0,0.5%,6.2%,"6,183",-2.4%,1.8%,"9,108",21.0%,3.0%,"21,020",20.8%,49.4%,51,19,15,98.9,0.6%,0.9%,295
"Chicago, IL metro area",March 2022,310.0,6.3%,3.3%,"8,780",42.0%,-5.6%,"12,375",35.9%,-8.9%,"23,069",9.7%,60.3%,52,1,28,99.8,0.9%,1.1%,310
"Chicago, IL metro area",April 2022,328.0,5.6%,5.0%,"9,500",8.2%,-9.4%,"12,446",0.6%,-15.4%,"24,686",7.0%,54.2%,48,-4,35,100.6,0.8%,1.2%,326
"Chicago, IL metro area",May 2022,329.0,0.5%,4.4%,"10,190",7.3%,-6.5%,"12,805",2.9%,-8.4%,"25,891",4.9%,51.8%,48,0,39,101.1,0.4%,1.1%,325
"Chicago, IL metro area",June 2022,340.0,3.3%,6.3%,"11,016",8.1%,-15.4%,"13,097",2.3%,-12.8%,"26,764",3.4%,38.8%,48,0,40,101.0,-0.1%,0.7%,336
"Chicago, IL metro area",July 2022,325.0,-4.4%,4.2%,"8,961",-18.7%,-23.4%,"10,772",-17.8%,-22.6%,"26,991",0.8%,30.2%,49,1,39,100.2,-0.8%,0.1%,324
"Chicago, IL metro area",August 2022,310.0,-4.6%,1.6%,"8,986",0.3%,-19.7%,"9,304",-13.6%,-23.2%,"25,399",-5.9%,24.5%,53,4,40,99.3,-0.9%,-0.4%,312
"Chicago, IL metro area",September 2022,305.0,-1.6%,3.7%,"7,871",-12.4%,-21.0%,"8,552",-8.1%,-25.5%,"24,384",-4.0%,20.2%,57,4,42,98.7,-0.7%,-0.5%,309
"Chicago, IL metro area",October 2022,300.0,-1.6%,2.4%,"6,577",-16.4%,-31.2%,"7,198",-15.8%,-27.1%,"22,883",-6.2%,22.2%,61,4,42,98.3,-0.3%,-0.6%,305
"Chicago, IL metro area",November 2022,295.0,-1.8%,0.4%,"5,857",-10.9%,-34.6%,"5,280",-26.6%,-26.2%,"20,520",-10.3%,26.0%,60,-1,38,98.0,-0.3%,-0.7%,301
"Chicago, IL metro area",December 2022,285.0,-3.2%,-1.7%,"5,563",-5.0%,-39.0%,"3,443",-34.8%,-28.2%,"16,892",-17.7%,19.6%,64,4,39,97.8,-0.2%,-0.9%,291
"Chicago, IL metro area",January 2023,285.0,0.0%,-1.7%,"3,866",-30.5%,-39.0%,"5,748",66.9%,-23.6%,"17,375",2.9%,-0.1%,75,11,43,97.6,-0.2%,-0.8%,292
"Chicago, IL metro area",February 2023,290.0,1.8%,-0.5%,"4,302",11.3%,-30.4%,"6,548",13.9%,-28.1%,"18,253",5.1%,-13.2%,75,0,24,97.9,0.3%,-1.0%,296
"Chicago, IL metro area",March 2023,309.0,6.4%,-0.5%,"6,824",58.6%,-22.3%,"8,686",32.7%,-29.8%,"18,724",2.6%,-18.8%,57,-18,5,98.8,0.9%,-1.1%,312
"Chicago, IL metro area",April 2023,320.0,3.7%,-2.3%,"6,659",-2.4%,-29.9%,"8,392",-3.4%,-32.6%,"19,222",2.7%,-22.1%,51,-6,3,99.5,0.7%,-1.1%,321
"Chicago, IL metro area",May 2023,329.0,2.8%,0.0%,"7,837",17.7%,-23.1%,"9,500",13.2%,-25.8%,"19,729",2.6%,-23.8%,49,-2,1,100.2,0.7%,-0.8%,328
"Chicago, IL metro area",June 2023,345.0,4.9%,1.5%,"8,697",11.0%,-21.1%,"9,416",-0.9%,-28.1%,"19,493",-1.2%,-27.2%,48,-1,0,100.6,0.4%,-0.4%,342
"Chicago, IL metro area",July 2023,337.0,-2.3%,3.7%,"7,189",-17.3%,-19.8%,"8,395",-10.8%,-22.1%,"19,443",-0.3%,-28.0%,49,1,0,100.4,-0.2%,0.3%,335
"Chicago, IL metro area",August 2023,335.0,-0.6%,8.1%,"7,768",8.1%,-13.6%,"8,491",1.1%,-8.7%,"18,992",-2.3%,-25.2%,49,0,-4,100.2,-0.3%,0.9%,334
"Chicago, IL metro area",September 2023,320.0,-4.5%,4.9%,"6,566",-15.5%,-16.6%,"7,562",-10.9%,-11.6%,"18,763",-1.2%,-23.1%,50,1,-7,99.8,-0.4%,1.1%,320
"Chicago, IL metro area",October 2023,315.0,-1.6%,5.0%,"6,189",-5.7%,-5.9%,"6,957",-8.0%,-3.3%,"18,147",-3.3%,-20.7%,51,1,-10,99.5,-0.3%,1.2%,316
"Chicago, IL metro area",November 2023,320.0,1.6%,8.7%,"5,328",-13.9%,-9.0%,"5,446",-21.7%,3.1%,"16,913",-6.8%,-17.6%,52,1,-8,99.0,-0.5%,1.0%,323
"Chicago, IL metro area",December 2023,305.0,-4.6%,7.1%,"5,290",-0.7%,-4.9%,"3,501",-35.7%,1.7%,"14,023",-17.1%,-17.0%,57,5,-7,98.6,-0.4%,0.8%,309
"Chicago, IL metro area",January 2024,312.0,2.2%,9.5%,"3,981",-24.7%,3.0%,"5,332",52.3%,-7.2%,"14,339",2.3%,-17.5%,65,8,-10,98.7,0.1%,1.2%,316
"Chicago, IL metro area",February 2024,318.0,1.9%,9.7%,"4,459",12.0%,3.6%,"7,540",41.4%,15.1%,"16,267",13.4%,-10.9%,65,0,-10,99.0,0.3%,1.1%,321
"Chicago, IL metro area",March 2024,338.0,6.3%,9.6%,"5,886",32.0%,-13.7%,"8,016",6.3%,-7.7%,"17,077",5.0%,-8.8%,50,-15,-7,99.7,0.7%,0.9%,339
"Chicago, IL metro area",April 2024,349.0,3.3%,9.1%,"7,102",20.7%,6.7%,"9,305",16.1%,10.9%,"18,087",5.9%,-5.9%,47,-3,-4,100.4,0.7%,0.9%,347
"Chicago, IL metro area",May 2024,355.0,1.7%,7.9%,"7,804",9.9%,-0.4%,"9,517",2.3%,0.2%,"18,307",1.2%,-7.2%,47,0,-2,100.6,0.2%,0.4%,352
"Chicago, IL metro area",June 2024,375.0,5.6%,8.7%,"7,386",-5.4%,-15.1%,"8,602",-9.6%,-8.6%,"17,393",-5.0%,-10.8%,48,1,0,100.8,0.2%,0.1%,372
"Los Angeles, CA metro area",January 2012,290.0,-6.1%,-6.1%,"5,041",-22.0%,-1.8%,"8,337",51.4%,-9.7%,"24,958",-0.1%,-18.7%,70,3,-1,97.6,0.1%,-0.5%,297
"Los Angeles, CA metro area",February 2012,300.0,3.4%,-4.8%,"5,264",4.4%,12.7%,"8,174",-2.0%,-7.1%,"24,007",-3.8%,-22.2%,68,-2,-10,97.7,0.0%,-0.4%,307
"Los Angeles, CA metro area",March 2012,310.0,3.3%,-3.1%,"6,808",29.3%,3.0%,"8,472",3.6%,-18.0%,"22,338",-7.0%,-27.9%,65,-3,-6,97.9,0.2%,0.0%,316
"Los Angeles, CA metro area",April 2012,315.0,1.6%,-3.1%,"6,646",-2.4%,5.8%,"7,990",-5.7%,-15.3%,"21,258",-4.8%,-32.1%,56,-9,-6,98.1,0.2%,0.0%,321
"Los Angeles, CA metro area",May 2012,320.0,1.6%,0.0%,"7,379",11.0%,20.7%,"8,393",5.0%,-13.0%,"19,787",-6.9%,-37.8%,50,-6,-7,98.5,0.4%,0.5%,324
"Los Angeles, CA metro area",June 2012,330.0,3.1%,2.5%,"7,620",3.3%,11.8%,"7,923",-5.6%,-18.2%,"18,612",-5.9%,-41.3%,43,-7,-14,98.9,0.4%,0.9%,333
"Los Angeles, CA metro area",July 2012,335.0,1.5%,3.1%,"7,153",-6.1%,15.1%,"7,637",-3.6%,-13.7%,"17,505",-5.9%,-44.4%,42,-1,-15,99.2,0.3%,1.2%,337
"Los Angeles, CA metro area",August 2012,337.0,0.6%,7.0%,"7,920",10.7%,19.9%,"7,428",-2.7%,-18.5%,"15,745",-10.1%,-48.7%,39,-3,-19,99.1,-0.1%,1.3%,340
"Los Angeles, CA metro area",September 2012,349.0,3.6%,10.8%,"6,345",-19.9%,0.8%,"6,597",-11.2%,-21.1%,"14,477",-8.1%,-52.0%,37,-2,-23,99.1,0.0%,1.3%,352
"Los Angeles, CA metro area",October 2012,345.0,-1.1%,15.0%,"7,256",14.4%,22.8%,"7,092",7.5%,-10.5%,"12,952",-10.5%,-55.3%,36,-1,-28,99.2,0.1%,1.3%,347
"Los Angeles, CA metro area",November 2012,350.0,1.4%,12.9%,"6,676",-8.0%,13.9%,"5,972",-15.8%,-12.5%,"11,736",-9.4%,-57.4%,32,-4,-33,99.4,0.1%,1.7%,352
"Los Angeles, CA metro area",December 2012,353.0,0.9%,14.3%,"7,388",10.7%,14.3%,"4,269",-28.5%,-22.5%,"9,868",-15.9%,-60.5%,31,-1,-36,99.2,-0.2%,1.6%,355
"Los Angeles, CA metro area",January 2013,340.0,-3.8%,17.2%,"5,483",-25.8%,8.8%,"6,949",62.8%,-16.6%,"9,975",1.1%,-60.0%,31,0,-39,99.4,0.2%,1.7%,342
"Los Angeles, CA metro area",February 2013,360.0,5.9%,20.0%,"5,184",-5.5%,-1.5%,"6,837",-1.6%,-16.4%,"9,809",-1.7%,-59.1%,25,-6,-43,99.6,0.3%,2.0%,361
"Los Angeles, CA metro area",March 2013,389.0,8.1%,25.5%,"6,597",27.3%,-3.1%,"7,547",10.4%,-10.9%,"9,569",-2.4%,-57.2%,20,-5,-45,100.2,0.6%,2.3%,388
"Los Angeles, CA metro area",April 2013,404.0,3.9%,28.3%,"6,794",3.0%,2.2%,"8,558",13.4%,7.1%,"10,318",7.8%,-51.5%,18,-2,-38,100.5,0.3%,2.4%,401
"Los Angeles, CA metro area",May 2013,416.0,3.0%,30.0%,"7,490",10.2%,1.5%,"8,528",-0.4%,1.6%,"10,888",5.5%,-45.0%,15,-3,-35,100.9,0.4%,2.4%,412
"Los Angeles, CA metro area",June 2013,435.0,4.6%,31.8%,"6,954",-7.2%,-8.7%,"8,563",0.4%,8.1%,"12,002",10.2%,-35.5%,16,1,-27,101.2,0.4%,2.4%,429
"Los Angeles, CA metro area",July 2013,431.0,-0.9%,28.7%,"7,288",4.8%,1.9%,"9,157",6.9%,19.9%,"13,138",9.5%,-24.9%,16,0,-26,101.0,-0.2%,1.8%,426
"Los Angeles, CA metro area",August 2013,440.0,2.1%,30.6%,"7,594",4.2%,-4.1%,"8,606",-6.0%,15.9%,"13,604",3.5%,-13.6%,18,2,-21,100.8,-0.2%,1.6%,436
"Los Angeles, CA metro area",September 2013,433.0,-1.6%,24.0%,"6,218",-18.1%,-2.0%,"7,923",-7.9%,20.1%,"14,418",6.0%,-0.4%,20,2,-17,100.4,-0.3%,1.3%,431
"Los Angeles, CA metro area",October 2013,435.0,0.5%,26.1%,"6,685",7.5%,-7.9%,"7,719",-2.6%,8.8%,"14,209",-1.4%,9.7%,23,3,-13,100.0,-0.4%,0.8%,435
"Los Angeles, CA metro area",November 2013,430.0,-1.1%,22.9%,"5,644",-15.6%,-15.5%,"5,696",-26.2%,-4.6%,"13,180",-7.2%,12.3%,26,3,-6,99.7,-0.3%,0.4%,431
"Los Angeles, CA metro area",December 2013,439.0,2.1%,24.3%,"6,006",6.4%,-18.7%,"4,377",-23.2%,2.5%,"11,667",-11.5%,18.2%,27,1,-4,99.5,-0.2%,0.3%,441
"Los Angeles, CA metro area",January 2014,425.0,-3.2%,25.0%,"4,791",-20.2%,-12.6%,"7,302",66.8%,5.1%,"12,583",7.9%,26.1%,33,6,2,99.2,-0.3%,-0.2%,428
"Los Angeles, CA metro area",February 2014,432.0,1.7%,20.1%,"4,442",-7.3%,-14.3%,"6,870",-5.9%,0.5%,"12,791",1.7%,30.4%,32,-1,7,99.2,0.0%,-0.5%,435
"Los Angeles, CA metro area",March 2014,450.0,4.1%,15.7%,"5,512",24.1%,-16.4%,"8,201",19.4%,8.7%,"13,357",4.4%,39.6%,26,-6,6,99.5,0.3%,-0.7%,452
"Los Angeles, CA metro area",April 2014,458.0,1.8%,13.4%,"6,296",14.2%,-7.3%,"8,242",0.5%,-3.7%,"13,502",1.1%,30.9%,24,-2,6,99.5,0.0%,-1.0%,460
"Los Angeles, CA metro area",May 2014,465.0,1.5%,11.8%,"6,435",2.2%,-14.1%,"8,535",3.6%,0.1%,"13,936",3.2%,28.0%,23,-1,8,99.7,0.2%,-1.1%,466
"Los Angeles, CA metro area",June 2014,465.0,0.0%,6.9%,"6,460",0.4%,-7.1%,"8,460",-0.9%,-1.2%,"15,283",9.7%,27.3%,23,0,7,99.7,0.0%,-1.5%,466
"Los Angeles, CA metro area",July 2014,475.0,2.1%,10.2%,"6,733",4.2%,-7.6%,"8,697",2.8%,-5.0%,"16,865",10.4%,28.4%,22,-1,6,99.7,0.0%,-1.3%,476
"Los Angeles, CA metro area",August 2014,478.0,0.7%,8.6%,"6,438",-4.4%,-15.2%,"7,884",-9.3%,-8.4%,"17,249",2.3%,26.8%,26,4,8,99.3,-0.4%,-1.5%,481
"Los Angeles, CA metro area",September 2014,470.0,-1.7%,8.6%,"6,038",-6.2%,-2.9%,"7,621",-3.3%,-3.8%,"17,865",3.6%,23.9%,31,5,11,99.1,-0.1%,-1.3%,474
"Los Angeles, CA metro area",October 2014,475.0,1.1%,9.2%,"6,417",6.3%,-4.0%,"7,873",3.3%,2.0%,"17,529",-1.9%,23.4%,38,7,15,99.0,-0.1%,-1.0%,479
"Los Angeles, CA metro area",November 2014,465.0,-2.1%,8.1%,"5,100",-20.5%,-9.6%,"5,443",-30.9%,-4.4%,"16,166",-7.8%,22.7%,41,3,15,98.8,-0.3%,-1.0%,470
"Los Angeles, CA metro area",December 2014,467.0,0.5%,6.4%,"6,007",17.8%,0.0%,"4,293",-21.1%,-1.9%,"13,720",-15.1%,17.6%,44,3,17,98.7,-0.1%,-0.8%,473
"Los Angeles, CA metro area",January 2015,465.0,-0.5%,9.4%,"4,425",-26.3%,-7.6%,"7,392",72.2%,1.2%,"14,583",6.3%,15.9%,50,6,17,98.4,-0.3%,-0.8%,472
"Los Angeles, CA metro area",February 2015,470.0,1.1%,8.7%,"4,305",-2.7%,-3.1%,"7,391",0.0%,7.6%,"15,223",4.4%,19.0%,45,-5,13,98.8,0.3%,-0.4%,475
"Los Angeles, CA metro area",March 2015,480.0,2.1%,6.7%,"6,116",42.1%,11.0%,"8,616",16.6%,5.1%,"15,288",0.4%,14.5%,36,-9,10,99.1,0.4%,-0.4%,484
"Los Angeles, CA metro area",April 2015,495.0,3.1%,8.1%,"6,686",9.3%,6.2%,"9,030",4.8%,9.6%,"15,957",4.4%,18.2%,34,-2,10,99.4,0.3%,-0.1%,497
"Los Angeles, CA metro area",May 2015,494.0,-0.2%,6.2%,"6,711",0.4%,4.3%,"8,695",-3.7%,1.9%,"16,464",3.2%,18.1%,33,-1,10,99.7,0.2%,-0.1%,495
"Los Angeles, CA metro area",June 2015,506.0,2.4%,8.8%,"7,535",12.3%,16.6%,"9,386",7.9%,10.9%,"17,117",4.0%,12.0%,30,-3,7,99.7,0.0%,0.0%,507
"Los Angeles, CA metro area",July 2015,505.0,-0.2%,6.4%,"7,596",0.8%,12.8%,"9,288",-1.0%,6.8%,"17,625",3.0%,4.5%,31,1,9,99.6,0.0%,0.0%,507
"Los Angeles, CA metro area",August 2015,510.0,1.0%,6.7%,"6,881",-9.4%,6.9%,"8,502",-8.5%,7.8%,"17,647",0.1%,2.3%,32,1,6,99.6,0.0%,0.3%,512
"Los Angeles, CA metro area",September 2015,499.0,-2.2%,6.2%,"6,651",-3.3%,10.2%,"7,842",-7.8%,2.9%,"17,373",-1.6%,-2.8%,34,2,3,99.4,-0.2%,0.3%,502
"Los Angeles, CA metro area",October 2015,499.0,0.0%,5.1%,"6,472",-2.7%,0.9%,"7,612",-2.9%,-3.3%,"16,671",-4.0%,-4.9%,35,1,-3,99.3,-0.2%,0.2%,502
"Los Angeles, CA metro area",November 2015,496.0,-0.6%,6.7%,"4,908",-24.2%,-3.8%,"5,883",-22.7%,8.1%,"15,473",-7.2%,-4.3%,38,3,-3,99.2,-0.1%,0.4%,500
"Los Angeles, CA metro area",December 2015,510.0,2.8%,9.1%,"6,566",33.8%,9.3%,"4,363",-25.8%,1.6%,"13,103",-15.3%,-4.5%,39,1,-5,99.0,-0.2%,0.3%,515
"Los Angeles, CA metro area",January 2016,500.0,-2.0%,7.5%,"4,679",-28.7%,5.7%,"7,060",61.8%,-4.5%,"14,304",9.2%,-1.9%,44,5,-6,98.9,-0.1%,0.4%,505
"Los Angeles, CA metro area",February 2016,500.0,0.0%,6.4%,"4,476",-4.3%,4.0%,"7,628",8.0%,3.2%,"14,999",4.9%,-1.5%,45,1,0,98.9,0.1%,0.2%,505
"Los Angeles, CA metro area",March 2016,518.0,3.6%,7.9%,"6,175",38.0%,1.0%,"8,752",14.7%,1.6%,"15,557",3.7%,1.8%,37,-8,1,99.5,0.6%,0.4%,520
"Los Angeles, CA metro area",April 2016,530.0,2.3%,7.1%,"6,444",4.4%,-3.6%,"8,898",1.7%,-1.5%,"16,227",4.3%,1.7%,35,-2,1,99.6,0.1%,0.2%,532
"Los Angeles, CA metro area",May 2016,540.0,1.9%,9.3%,"6,745",4.7%,0.5%,"8,780",-1.3%,1.0%,"16,725",3.1%,1.6%,35,0,2,99.7,0.1%,0.1%,541
"Los Angeles, CA metro area",June 2016,540.0,0.0%,6.7%,"7,495",11.1%,-0.5%,"9,465",7.8%,0.8%,"17,606",5.3%,2.9%,34,-1,4,99.9,0.1%,0.2%,540
"Los Angeles, CA metro area",July 2016,540.0,0.0%,6.9%,"6,756",-9.9%,-11.1%,"9,153",-3.3%,-1.5%,"18,604",5.7%,5.6%,34,0,3,99.7,-0.1%,0.1%,541
"Los Angeles, CA metro area",August 2016,545.0,0.9%,6.9%,"7,161",6.0%,4.1%,"9,299",1.6%,9.4%,"19,284",3.7%,9.3%,36,2,4,99.7,0.0%,0.1%,546
"Los Angeles, CA metro area",September 2016,535.0,-1.8%,7.2%,"6,788",-5.2%,2.1%,"8,868",-4.6%,13.1%,"19,636",1.8%,13.0%,39,3,5,99.5,-0.2%,0.1%,537
"Los Angeles, CA metro area",October 2016,540.0,0.9%,8.2%,"6,212",-8.5%,-4.0%,"7,259",-18.1%,-4.6%,"18,937",-3.6%,13.6%,40,1,5,99.2,-0.3%,0.0%,544
"Los Angeles, CA metro area",November 2016,545.0,0.9%,9.9%,"6,046",-2.7%,23.2%,"5,751",-20.8%,-2.2%,"17,405",-8.1%,12.5%,42,2,4,99.2,0.0%,0.1%,549
"Los Angeles, CA metro area",December 2016,535.0,-1.8%,4.9%,"6,338",4.8%,-3.5%,"3,870",-32.7%,-11.3%,"14,484",-16.8%,10.5%,49,7,10,99.1,-0.2%,0.1%,539
"Los Angeles, CA metro area",January 2017,540.0,0.9%,8.0%,"4,813",-24.1%,2.9%,"6,644",71.7%,-5.9%,"14,859",2.6%,3.9%,53,4,9,99.0,-0.1%,0.1%,545
"Los Angeles, CA metro area",February 2017,540.0,0.0%,8.0%,"4,535",-5.8%,1.3%,"6,625",-0.3%,-13.1%,"15,069",1.4%,0.5%,53,0,8,99.1,0.2%,0.2%,544
"Los Angeles, CA metro area",March 2017,555.0,2.8%,7.1%,"6,611",45.8%,7.1%,"9,019",36.1%,3.1%,"15,922",5.7%,2.3%,42,-11,5,99.5,0.4%,0.0%,557
"Los Angeles, CA metro area",April 2017,560.0,0.9%,5.7%,"5,952",-10.0%,-7.6%,"8,424",-6.6%,-5.3%,"16,680",4.8%,2.8%,37,-5,2,100.1,0.6%,0.5%,559
"Los Angeles, CA metro area",May 2017,578.0,3.1%,6.9%,"7,109",19.4%,5.4%,"9,166",8.8%,4.4%,"17,091",2.5%,2.2%,36,-1,1,100.1,0.0%,0.4%,577
"Los Angeles, CA metro area",June 2017,586.0,1.5%,8.5%,"8,032",13.0%,7.2%,"9,010",-1.7%,-4.8%,"17,472",2.2%,-0.8%,35,-1,1,100.2,0.1%,0.4%,584
"Los Angeles, CA metro area",July 2017,589.0,0.5%,9.1%,"6,497",-19.1%,-3.8%,"8,418",-6.6%,-8.0%,"17,942",2.7%,-3.6%,37,2,3,100.2,0.0%,0.5%,587
"Los Angeles, CA metro area",August 2017,590.0,0.2%,8.3%,"7,565",16.4%,5.6%,"8,198",-2.6%,-11.8%,"17,328",-3.4%,-10.1%,38,1,2,100.1,-0.2%,0.3%,589
"Los Angeles, CA metro area",September 2017,589.0,-0.2%,10.1%,"6,601",-12.7%,-2.8%,"7,435",-9.3%,-16.2%,"17,074",-1.5%,-13.0%,41,3,2,99.9,-0.1%,0.4%,589
"Los Angeles, CA metro area",October 2017,577.0,-2.0%,6.9%,"6,340",-4.0%,2.1%,"7,008",-5.7%,-3.5%,"16,222",-5.0%,-14.3%,41,0,1,99.8,-0.1%,0.5%,578
"Los Angeles, CA metro area",November 2017,589.0,2.1%,8.1%,"5,982",-5.6%,-1.1%,"5,639",-19.5%,-1.9%,"14,617",-9.9%,-16.0%,41,0,-1,100.0,0.2%,0.7%,589
"Los Angeles, CA metro area",December 2017,585.0,-0.7%,9.3%,"5,992",0.2%,-5.5%,"3,602",-36.1%,-6.9%,"11,971",-18.1%,-17.4%,44,3,-5,99.7,-0.2%,0.7%,586
"Los Angeles, CA metro area",January 2018,575.0,-1.7%,6.5%,"4,482",-25.2%,-6.9%,"7,008",94.6%,5.5%,"13,164",10.0%,-11.4%,47,3,-6,99.5,-0.2%,0.6%,577
"Los Angeles, CA metro area",February 2018,595.0,3.5%,10.2%,"4,360",-2.7%,-3.9%,"7,396",5.5%,11.6%,"14,359",9.1%,-4.7%,41,-6,-12,99.9,0.4%,0.8%,595
"Los Angeles, CA metro area",March 2018,602.0,1.1%,8.4%,"6,396",46.7%,-3.3%,"8,077",9.2%,-10.4%,"14,762",2.8%,-7.3%,36,-5,-6,100.3,0.4%,0.8%,600
"Los Angeles, CA metro area",April 2018,610.0,1.4%,8.9%,"6,046",-5.5%,1.6%,"8,722",8.0%,3.5%,"16,012",8.5%,-4.0%,34,-2,-3,100.4,0.1%,0.3%,607
"Los Angeles, CA metro area",May 2018,630.0,3.3%,9.1%,"6,727",11.3%,-5.4%,"8,994",3.1%,-1.9%,"16,911",5.6%,-1.1%,34,0,-2,100.4,0.0%,0.3%,627
"Los Angeles, CA metro area",June 2018,632.0,0.3%,7.8%,"7,067",5.1%,-12.0%,"8,881",-1.3%,-1.4%,"17,798",5.2%,1.9%,36,2,1,100.3,-0.1%,0.1%,630
"Los Angeles, CA metro area",July 2018,627.0,-0.9%,6.4%,"6,549",-7.3%,0.8%,"8,473",-4.6%,0.7%,"18,501",3.9%,3.1%,36,0,-1,100.1,-0.2%,-0.1%,626
"Los Angeles, CA metro area",August 2018,628.0,0.2%,6.4%,"6,974",6.5%,-7.8%,"8,462",-0.1%,3.2%,"18,898",2.1%,9.1%,38,2,0,100.0,-0.1%,-0.1%,628
"Los Angeles, CA metro area",September 2018,615.0,-2.1%,4.4%,"5,234",-24.9%,-20.7%,"7,483",-11.6%,0.6%,"19,578",3.6%,14.7%,41,3,0,99.6,-0.4%,-0.3%,617
"Los Angeles, CA metro area",October 2018,613.0,-0.3%,6.2%,"5,882",12.4%,-7.2%,"7,684",2.7%,9.6%,"19,794",1.1%,22.0%,44,3,3,99.4,-0.2%,-0.4%,616
"Los Angeles, CA metro area",November 2018,622.0,1.5%,5.6%,"5,092",-13.4%,-14.9%,"5,895",-23.3%,4.5%,"18,791",-5.1%,28.6%,45,1,4,99.2,-0.2%,-0.8%,627
"Los Angeles, CA metro area",December 2018,600.0,-3.6%,2.6%,"4,895",-3.9%,-18.3%,"3,488",-40.8%,-3.2%,"16,116",-14.2%,34.6%,50,5,6,98.9,-0.3%,-0.9%,606
"Los Angeles, CA metro area",January 2019,591.0,-1.5%,2.8%,"3,831",-21.7%,-14.5%,"6,867",96.9%,-2.0%,"17,362",7.7%,31.9%,58,8,11,98.5,-0.4%,-1.0%,600
"Los Angeles, CA metro area",February 2019,600.0,1.5%,0.8%,"3,903",1.9%,-10.5%,"6,378",-7.1%,-13.8%,"18,174",4.7%,26.6%,59,1,18,98.8,0.3%,-1.1%,607
"Los Angeles, CA metro area",March 2019,620.0,3.3%,3.1%,"5,384",37.9%,-15.8%,"7,788",22.1%,-3.6%,"18,660",2.7%,26.4%,51,-8,15,99.0,0.2%,-1.3%,626
"Los Angeles, CA metro area",April 2019,626.0,1.0%,2.6%,"6,043",12.2%,0.0%,"8,313",6.7%,-4.7%,"19,277",3.3%,20.4%,48,-3,14,99.3,0.3%,-1.2%,630
"Los Angeles, CA metro area",May 2019,626.0,-0.1%,-0.7%,"6,632",9.7%,-1.4%,"8,835",6.3%,-1.8%,"19,841",2.9%,17.3%,45,-3,11,99.5,0.3%,-0.9%,629
"Los Angeles, CA metro area",June 2019,635.0,1.5%,0.5%,"6,333",-4.5%,-10.4%,"7,960",-9.9%,-10.4%,"20,056",1.1%,12.7%,45,0,9,99.6,0.1%,-0.7%,637
"Los Angeles, CA metro area",July 2019,650.0,2.4%,3.8%,"6,565",3.7%,0.2%,"8,009",0.6%,-5.5%,"19,875",-0.9%,7.4%,46,1,10,99.4,-0.2%,-0.7%,653
